Resultant_R,Arc80
0.9993190113073432,0.015353196014627812
0.9993205381821938,0.015265895012880115
0.9993136661235265,0.015305464422416648
0.9993156226922285,0.015183791329432594
0.9993169915844349,0.015254173282325034
0.9993135348218222,0.015427260083950678
0.9993156260500234,0.015276242421136565
0.9993178019993092,0.015349199952924053
0.9993109027259495,0.015451048207824947
0.9993155904000098,0.015252020103107
0.9993128951058382,0.015239165160117807
0.9993096460882801,0.015374168736055793
0.999306185831915,0.015440891806778545
0.9993116943835456,0.015419495449940257
0.9993139469125718,0.015308495166822311
0.9993331690356668,0.015008006715276245
0.9993161840680661,0.015480875862357024
0.9993273770938866,0.01510038009963477
0.9993158556092717,0.015308495166822311
0.9993213598710459,0.015366799776555418
0.9993173147241126,0.01522527149173758
0.9993248604649647,0.015236376651080796
0.9993277363519154,0.014971126898420728
0.9993118960513978,0.015305464422416648
0.9993122321278081,0.015350407505590802
0.9993286696126327,0.015141744732472873
0.9993241074589325,0.015071158098354687
0.999312427044882,0.015353196014627812
0.9993110797974623,0.015427260083950678
0.9993133254662385,0.015276242421136565
0.9993109488989304,0.01532739489022461
0.9993303407213125,0.015146029876515144
0.9993116001319919,0.01533082012964826
0.9993107752923827,0.015293859162519574
0.9993129488597268,0.015401452686928607
0.9993187870214659,0.015239165160117807
0.9993211333265999,0.015263106503843105
0.9993164251995013,0.015446561599277153
0.9993147136641289,0.015351988461961064
0.9993155492579727,0.015294075905236681
0.9993099697874416,0.015484749171904788
0.9993129770945505,0.015366799776555418
0.9993245168842664,0.015358107794550158
0.9993134210803676,0.015405987926455644
0.9993168502719972,0.01522527149173758
0.9993136609830984,0.015405987926455644
0.9993176298223168,0.015301250999042004
0.9993205006849047,0.015283491426016482
0.9993044049531216,0.015535000548830169
0.9993073295490468,0.015458391782964043
0.9993298315591388,0.01496500553011959
0.9993100625676579,0.015434020560170403
0.9993095850522274,0.015305464422416648
0.9993127069695533,0.01532739489022461
0.9993212758487144,0.015148818385552154
0.9993130668671801,0.01538732979583024
0.9993278617432786,0.015189431709050183
0.9993257758123059,0.015191845527922077
0.9993162459016793,0.01536361290823507
0.9993059597455022,0.015265895012880115
0.999313756368419,0.015191845527922077
0.9993121460882707,0.015302675913379638
0.9993146192151785,0.015401452686928607
0.9993124329064259,0.015440891806778545
0.9993184045288275,0.015265895012880115
0.9993167526040645,0.01533082012964826
0.9993119088117274,0.015419495449940257
0.999319260718955,0.015265895012880115
0.9993131163006649,0.015452017962323872
0.9993246136031381,0.015191845527922077
0.9993115676529829,0.015438103297741534
0.9993147369057063,0.015222084623417231
0.9993143081964307,0.015282697832619263
0.9993089431837494,0.01522527149173758
0.999320947638433,0.015148818385552154
0.9993071176290831,0.015305464422416648
0.9993036734197897,0.01553144855404831
0.99932553368369,0.01510038009963477
0.9993133539443064,0.01522248298270057
0.9993175648668663,0.015279273165542229
0.9993174717242107,0.015305464422416648
0.9993088699146658,0.015443773090240143
0.9993152818969651,0.01529933283714513
0.9993147298698689,0.01522527149173758
0.9993192008472273,0.015197510684647142
0.99932190571648,0.015296302092739467
0.9993147059642924,0.01532739489022461
0.9993147486660849,0.015308495166822311
0.9993183056750189,0.015374168736055793
0.9993161568910964,0.015197510684647142
0.9993195139392862,0.015148818385552154
0.9993096394629094,0.015405987926455644
0.999310807210016,0.015374168736055793
0.9993122051916091,0.01548156230358444
0.9993189927233255,0.015349199952924053
0.9993126952852018,0.015417203075557495
0.9993194784351215,0.01525480861214401
0.9993059080895009,0.015548170536015427
0.999314621196499,0.0153022775540963
0.9993016233109536,0.015560004289635998
0.9993134197902896,0.015427260083950678
0.9993182128331392,0.01522248298270057
0.9993178641199516,0.015129511098349369
0.9993077540551071,0.015410333120263076
0.9993147123095425,0.01532739489022461
0.9993120580146433,0.015296302092739467
0.9993104384395664,0.01533082012964826
0.9993135549277892,0.015328031620611249
0.9993168431924656,0.015364011267518407
0.9993131469798284,0.015164033052070813
0.9993110443270948,0.0153057066577853
0.9993169423753813,0.015216109162060398
0.9993127984458711,0.015416308581619909
0.9993117254696764,0.01529933283714513
0.9993049278529912,0.01543965969064498
0.9993340727380197,0.014993385138192927
0.9993149715728306,0.01532739489022461
0.9993021111418868,0.01555571148018231
0.9993130484870673,0.015197510684647142
0.9993173390181102,0.01522527149173758
0.9993205141551911,0.01528133543499166
0.9993149854732952,0.015416685441294042
0.9993111309504187,0.015371380227018783
0.9993170381069925,0.015148818385552154
0.9993142739489396,0.015350407505590802
0.9993058550934685,0.01544449573782014
0.9993210817854375,0.015297106649642345
0.999313516405554,0.015282697832619263
0.9993159867240023,0.01522248298270057
0.9993155186189487,0.01532739489022461
0.9993173437674658,0.015353196014627812
0.999309594952071,0.0155286600450113
0.999318171221135,0.015296302092739467
0.9993186869174187,0.015308495166822311
0.9993155221251135,0.015236376651080796
0.9993109998527803,0.015560004289635998
0.9993170981416056,0.015302675913379638
0.999306240855753,0.015461180292001053
0.9993266573737645,0.015197510684647142
0.9993128467346565,0.015353196014627812
0.9993090196004341,0.01538732979583024
0.999301729156384,0.015417203075557495
0.9993180489394252,0.015197510684647142
0.9993232009430278,0.01521076264544341
0.999312602302377,0.015308495166822311
0.999316436328875,0.015296302092739467
0.9993281380688755,0.015129511098349369
0.9993063230150762,0.015419495449940257
0.9993226332447441,0.01522248298270057
0.9993046633630869,0.015481960662867778
0.9993150922012819,0.015353196014627812
0.9993136973784918,0.015308495166822311
0.9993227191516121,0.01522527149173758
0.9993153478824137,0.015374168736055793
0.9993136863274406,0.015353196014627812
0.999319009461546,0.01522527149173758
0.9993164842883129,0.01532739489022461
0.999325743932731,0.01503818747443919
0.9993156877685346,0.01522248298270057
0.9993100787108493,0.015278304690585998
0.9993089132329496,0.015353196014627812
0.9993234505341424,0.01522248298270057
0.9993055621977637,0.015427260083950678
0.999310222300894,0.015419495449940257
0.9993088560457297,0.015374168736055793
0.999320195472187,0.015294075905236681
0.9993202683894984,0.01525480861214401
0.9993210016260423,0.015262708144559767
0.9993220886518076,0.015129511098349369
0.9993068718412687,0.015398664177891597
0.9993142625355993,0.015321657799971078
0.9993179636215984,0.015251621743823662
0.9993211429318238,0.015180269379373001
0.9993117595668098,0.015350407505590802
0.9993204560826611,0.01525480861214401
0.9993178043068489,0.01532739489022461
0.9993199448256711,0.015350407505590802
0.9993261430042124,0.015296302092739467
0.9993095996269573,0.015457285193843262
0.9993131942639948,0.015293859162519574
0.9993272041111946,0.01503539896540218
0.9993085993126894,0.015457285193843262
0.9993102408012318,0.015366799776555418
0.9993147311726575,0.015302675913379638
0.9993238618989544,0.015191845527922077
0.9993167336089241,0.01538454128679323
0.9993187636649725,0.01532739489022461
0.9993217809126906,0.01522248298270057
0.9993186270318327,0.015402256343144849
0.9993171780210567,0.015236376651080796
0.9993195928468741,0.015166821561107824
