replicate,packet_count,best_candidate,best_harmonic,best_resultant_r,best_arc80,h1_resultant_r,h1_arc80,placement_failed
1,4581,logT_over_pi_h1,1,0.9991591296115147,0.017936724942463123,0.9991591296115147,0.017936724942463123,False
2,4581,logT_over_pi_h1,1,0.9991597738101232,0.017861053015961303,0.9991597738101232,0.017861053015961303,False
3,4581,logT_over_pi_h1,1,0.9991816935435315,0.017724911019387335,0.9991816935435315,0.017724911019387335,False
4,4581,logT_over_pi_h1,1,0.9991451686054112,0.018134389239722992,0.9991451686054112,0.018134389239722992,False
5,4581,logT_over_pi_h1,1,0.9991398437544344,0.018188008492830754,0.9991398437544344,0.018188008492830754,False
6,4581,logT_over_pi_h1,1,0.9991416994116842,0.018094582931757586,0.9991416994116842,0.018094582931757586,False
7,4581,logT_over_pi_h1,1,0.9991378732877917,0.0180196018312353,0.9991378732877917,0.0180196018312353,False
8,4581,logT_over_pi_h1,1,0.9991448344458669,0.018148960173201445,0.9991448344458669,0.018148960173201445,False
9,4581,logT_over_pi_h1,1,0.9991399887607255,0.018171940029597877,0.9991399887607255,0.018171940029597877,False
10,4581,logT_over_pi_h1,1,0.9991593767449151,0.017941300958282724,0.9991593767449151,0.017941300958282724,False
11,4581,logT_over_pi_h1,1,0.9991374074004757,0.01817717519912332,0.9991374074004757,0.01817717519912332,False
12,4581,logT_over_pi_h1,1,0.9991550202798872,0.017988192264470904,0.9991550202798872,0.017988192264470904,False
13,4581,logT_over_pi_h1,1,0.9991347792054731,0.01818396289866442,0.9991347792054731,0.01818396289866442,False
14,4581,logT_over_pi_h1,1,0.9991576987251469,0.018048779192501918,0.9991576987251469,0.018048779192501918,False
15,4581,logT_over_pi_h1,1,0.9991420086912524,0.01812235190743472,0.9991420086912524,0.01812235190743472,False
16,4581,logT_over_pi_h1,1,0.9991679325439479,0.017758920952637425,0.9991679325439479,0.017758920952637425,False
17,4581,logT_over_pi_h1,1,0.9991495907321896,0.018086428642432928,0.9991495907321896,0.018086428642432928,False
18,4581,logT_over_pi_h1,1,0.9991557798073915,0.018083068950488723,0.9991557798073915,0.018083068950488723,False
19,4581,logT_over_pi_h1,1,0.9991506053037401,0.01791176034733244,0.9991506053037401,0.01791176034733244,False
20,4581,logT_over_pi_h1,1,0.9991708166632389,0.017719460012942,0.9991708166632389,0.017719460012942,False
21,4581,logT_over_pi_h1,1,0.9991665721257494,0.017778511610838876,0.9991665721257494,0.017778511610838876,False
22,4581,logT_over_pi_h1,1,0.9991566349886186,0.017894290836768967,0.9991566349886186,0.017894290836768967,False
