Candidate,Harmonic,Packet_Count,Resultant_R,Arc80,Arc50,Phase_Mean,Null_R_Mean,Null_R_SD,Null_R_Q95,Null_Arc80_Mean,Null_Arc80_Q95
logT_over_pi_h1,1,4581,0.9993151761967478,0.015305464422416648,0.005828422976350112,0.09108314576940629,0.9991498348444615,1.1539170925863995e-05,0.9991683366533726,0.017977482560939794,0.018176875825136534
logT_over_pi_h2,2,4581,0.9972629328009104,0.030610928844833296,0.011656845952700223,0.18217144934738932,0.9966019427883993,4.6105865895166814e-05,0.9966758550847357,0.03595496512187964,0.03635375165027307
logT_over_pi_h3,3,4581,0.9938499493403372,0.04591639326725527,0.017485268929046782,0.27327010770377785,0.9923641245934552,0.00010354787151415246,0.9925300716996281,0.05393244768281956,0.05453062747541108
logT_over_pi_h4,4,4581,0.9890873433856379,0.06122185768966659,0.023313691905400447,0.3643843966324794,0.9864493500002944,0.00018361229782419962,0.9867434838493528,0.07190993024375933,0.07270750330054618
logT_over_pi_h5,5,4581,0.9829906483342136,0.07652732211208502,0.029142114881743453,0.45551971142449876,0.978875710568319,0.00028594677309848587,0.9793335249701488,0.0898874128046993,0.09088437912567776
logT_over_pi_h6,6,4581,0.9755797828063387,0.09183278653451055,0.034970537858093564,0.5466816090737646,0.9696663539164065,0.00041010110907555144,0.970322855944867,0.10786489536563917,0.10906125495082215
